Ponto de Venda,Data,Origem / mídia da sessão,Campanha da sessão,Sessões,Transações,Receita,Origem Agrupada
Site,08/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8215,305,59258.539996,Outros Canais
Site,27/04/2026,google / cpc,Performance -Guanabara-App-Engajament,8215,304,35373.829972,Outros Canais
Site,22/07/2025,(not set),(not set),8140,3,249.31000500000002,Outros Canais
Site,21/08/2025,(not set),(not set),8132,8,1014.359996,Outros Canais
Site,11/12/2025,google / cpc,Performance -Guanabara-App-Engajament,8131,304,44640.499884,Outros Canais
Site,02/01/2025,(direct) / (none),(direct),8130,201,41698.529958,Outros Canais
Site,27/03/2026,google / cpc,Performance -Guanabara-App-Engajament,8129,449,56627.23998699999,Outros Canais
Site,18/12/2025,google / cpc,Performance -Guanabara-App-Engajament,7954,327,49867.110021,Outros Canais
Site,04/02/2026,google / cpc,Performance -Guanabara-App-Engajament,7921,297,46300.85001799999,Outros Canais
Site,15/12/2025,google / cpc,Performance -Guanabara-App-Engajament,7919,340,57276.829987000005,Outros Canais
Site,26/03/2026,google / cpc,Performance -Guanabara-App-Engajament,7899,346,50157.09998800001,Outros Canais
Site,04/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7881,407,47907.53995600001,Outros Canais
Site,29/12/2025,(direct) / (none),(direct),7865,588,115717.250105,Outros Canais
Site,23/03/2026,google / cpc,Performance -Guanabara-App-Engajament,7823,311,41159.01001099999,Outros Canais
Site,24/08/2025,(not set),(not set),7802,52,7073.969999999999,Outros Canais
Site,02/01/2026,(direct) / (none),(direct),7739,680,136124.895052,Outros Canais
Site,17/12/2025,google / cpc,Performance -Guanabara-App-Engajament,7731,316,50552.00004999999,Outros Canais
Site,20/05/2026,(not set),(not set),7718,527,73839.389898,Outros Canais
Site,21/07/2025,google / cpc,Performance -Guanabara-App-Engajament,7694,188,36803.79004000001,Outros Canais
Site,22/12/2025,(direct) / (none),(direct),7687,758,135262.114969,Outros Canais
Site,14/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7686,354,53467.259976,Outros Canais
Site,24/07/2025,(not set),(not set),7666,0,0.0,Outros Canais
Site,25/07/2025,google / cpc,Performance -Guanabara-App-Engajament,7654,141,17988.579969,Outros Canais
Site,26/12/2025,(direct) / (none),(direct),7639,717,125479.62501999999,Outros Canais
Site,29/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7629,305,42874.03000500001,Outros Canais
Site,09/12/2025,(direct) / (none),(direct),7620,559,124216.01999499998,Outros Canais
Site,03/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7611,435,49302.779983,Outros Canais
Site,30/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7603,288,33323.969988,Outros Canais
Site,03/01/2025,(direct) / (none),(direct),7571,207,47528.769953,Outros Canais
Site,11/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7557,362,44243.389983,Outros Canais
Site,12/12/2025,google / cpc,Performance -Guanabara-App-Engajament,7540,316,46237.799975999995,Outros Canais
Site,17/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7494,384,46587.75995400001,Outros Canais
Site,28/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7494,307,41921.299985,Outros Canais
Site,30/01/2026,google / cpc,Performance -Guanabara-App-Engajament,7432,327,43207.57999299999,Outros Canais
